Attribute,ActiveIngredients,AgeRangeDescription,Color,FinishType,Flavor,HairType,ItemForm,Material,ProductBenefit,Scent,SkinTone,SkinType,SpecialIngredients,TargetGender,Variety
asin_entity_precision,0.9615384615384616,0.9735099337748344,0.7862903225806451,0.9790794979079498,0.641,0.8994708994708994,0.9478357380688124,0.8013245033112583,0.6986301369863014,0.6683544303797468,0.8235294117647058,0.9452991452991453,1.0,0.9428571428571428,0.9847908745247148
asin_entity_recall,0.2074688796680498,0.5316455696202531,0.48267326732673266,0.6776061776061776,0.5851209493382017,0.7623318385650224,0.6713836477987422,0.28337236533957844,0.13110539845758354,0.5248508946322068,0.22950819672131148,0.5671794871794872,0.1,0.7586206896551724,0.7
asin_entity_f1,0.3412969283276451,0.687719298245614,0.5981595092024539,0.8009127210496292,0.6117871629682653,0.8252427184466019,0.7860101242521859,0.4186851211072664,0.22077922077922077,0.5879732739420935,0.358974358974359,0.708974358974359,0.18181818181818182,0.8407643312101911,0.8183254344391784
fact_entity_precision,0.8709677419354839,0.8641618497109826,0.7114754098360656,0.9355216881594373,0.4780048493245584,0.7684887459807074,0.8755102040816326,0.707774798927614,0.6506024096385542,0.5437330928764653,0.6666666666666666,0.8783068783068783,1.0,0.9295774647887324,0.9088145896656535
fact_entity_recall,0.1330049261083744,0.470125786163522,0.39311594202898553,0.6323296354992076,0.4962243797195254,0.513978494623656,0.66,0.20512820512820512,0.0759493670886076,0.4222689075630252,0.17721518987341772,0.48823529411764705,0.05905511811023622,0.7586206896551724,0.6842105263157895
fact_entity_f1,0.23076923076923075,0.6089613034623218,0.5064177362893816,0.7546099290780142,0.4869442484121384,0.615979381443299,0.7526315789473684,0.31807228915662655,0.13602015113350127,0.4753646038628302,0.28,0.6275992438563327,0.11152416356877325,0.8354430379746836,0.7806788511749347
asin_token_precision,0.9807692307692307,0.9735099337748344,0.9193548387096774,0.9832635983263598,0.8655,0.9365079365079365,0.9478357380688124,0.8807947019867549,0.7123287671232876,0.9177215189873418,0.8823529411764706,0.9606837606837607,1.0,0.9428571428571428,0.9847908745247148
asin_token_recall,0.21161825726141079,0.5316455696202531,0.5643564356435643,0.6805019305019305,0.7900502053856686,0.7937219730941704,0.6713836477987422,0.3114754098360656,0.13367609254498714,0.7206759443339961,0.2459016393442623,0.5764102564102564,0.1,0.7586206896551724,0.7
asin_token_f1,0.3481228668941979,0.687719298245614,0.6993865030674846,0.8043354249857388,0.8260558339298496,0.8592233009708737,0.7860101242521859,0.4602076124567474,0.2251082251082251,0.8073496659242761,0.3846153846153846,0.7205128205128206,0.18181818181818182,0.8407643312101911,0.8183254344391784
fact_token_precision,0.9032258064516129,0.8762042389210019,0.812568306010929,0.9368005968240435,0.714072248813897,0.8049303322615223,0.8761904761904762,0.8230563002680965,0.6626506024096386,0.8205590622182145,0.7222222222222223,0.9391534391534392,1.0,0.9295774647887324,0.9103343465045592
fact_token_recall,0.13793103448275862,0.48427672955974843,0.45501207729468596,0.6354992076069731,0.6328307734456597,0.567741935483871,0.6603846153846153,0.22636622636622636,0.07876230661040788,0.5474973322662396,0.21518987341772153,0.5004901960784315,0.05905511811023622,0.7586206896551724,0.6864988558352403
fact_token_f1,0.23931623931623933,0.6237872239034634,0.5833608625240376,0.7572805584401369,0.6710013802699725,0.6658438660211881,0.7531330083316446,0.3550755659422931,0.1407903458048591,0.6567768687644767,0.331582895723931,0.652990889420955,0.11152416356877325,0.8354430379746836,0.7827285735131096
