lr;epoch;iteration;global_iteration
3.4146008331626036e-10;0;1;1
6.829201666325207e-10;0;2;2
1.024380249948781e-09;0;3;3
1.3658403332650415e-09;0;4;4
1.7073004165813017e-09;0;5;5
2.048760499897562e-09;0;6;6
2.3902205832138226e-09;0;7;7
2.731680666530083e-09;0;8;8
3.0731407498463428e-09;0;9;9
3.4146008331626034e-09;0;10;10
3.756060916478863e-09;0;11;11
4.097520999795124e-09;0;12;12
4.438981083111385e-09;0;13;13
4.780441166427645e-09;0;14;14
5.121901249743905e-09;0;15;15
5.463361333060166e-09;0;16;16
5.8048214163764265e-09;0;17;17
6.1462814996926855e-09;0;18;18
6.487741583008946e-09;0;19;19
6.829201666325207e-09;0;20;20
7.1706617496414675e-09;0;21;21
7.512121832957727e-09;0;22;22
7.853581916273987e-09;0;23;23
8.195041999590248e-09;0;24;24
8.536502082906509e-09;0;25;25
8.87796216622277e-09;0;26;26
9.21942224953903e-09;0;27;27
9.56088233285529e-09;0;28;28
9.90234241617155e-09;0;29;29
1.024380249948781e-08;0;30;30
1.0585262582804071e-08;0;31;31
1.0926722666120332e-08;0;32;32
1.1268182749436592e-08;0;33;33
1.1609642832752853e-08;0;34;34
1.1951102916069114e-08;0;35;35
1.2292562999385371e-08;0;36;36
1.2634023082701632e-08;0;37;37
1.2975483166017892e-08;0;38;38
1.3316943249334153e-08;0;39;39
1.3658403332650414e-08;0;40;40
1.3999863415966674e-08;0;41;41
1.4341323499282935e-08;0;42;42
1.4682783582599196e-08;0;43;43
1.5024243665915453e-08;0;44;44
1.5365703749231715e-08;0;45;45
1.5707163832547974e-08;0;46;46
1.6048623915864237e-08;0;47;47
1.6390083999180496e-08;0;48;48
1.6731544082496758e-08;0;49;49
1.7073004165813017e-08;0;50;50
1.741446424912928e-08;0;51;51
1.775592433244554e-08;0;52;52
1.8097384415761798e-08;0;53;53
1.843884449907806e-08;0;54;54
1.878030458239432e-08;0;55;55
1.912176466571058e-08;0;56;56
1.946322474902684e-08;0;57;57
1.98046848323431e-08;0;58;58
2.014614491565936e-08;0;59;59
2.048760499897562e-08;0;60;60
2.0829065082291883e-08;0;61;61
2.1170525165608142e-08;0;62;62
2.1511985248924404e-08;0;63;63
2.1853445332240663e-08;0;64;64
2.2194905415556922e-08;0;65;65
2.2536365498873185e-08;0;66;66
2.2877825582189444e-08;0;67;67
2.3219285665505706e-08;0;68;68
2.3560745748821965e-08;0;69;69
2.3902205832138227e-08;0;70;70
2.4243665915454486e-08;0;71;71
2.4585125998770742e-08;0;72;72
2.4926586082087008e-08;0;73;73
2.5268046165403263e-08;0;74;74
2.560950624871953e-08;0;75;75
2.5950966332035785e-08;0;76;76
2.629242641535205e-08;0;77;77
2.6633886498668306e-08;0;78;78
2.6975346581984572e-08;0;79;79
2.7316806665300827e-08;0;80;80
2.7658266748617086e-08;0;81;81
2.799972683193335e-08;0;82;82
2.8341186915249608e-08;0;83;83
2.868264699856587e-08;0;84;84
2.902410708188213e-08;0;85;85
2.936556716519839e-08;0;86;86
2.970702724851465e-08;0;87;87
3.0048487331830906e-08;0;88;88
3.0389947415147175e-08;0;89;89
3.073140749846343e-08;0;90;90
3.107286758177969e-08;0;91;91
3.141432766509595e-08;0;92;92
3.175578774841222e-08;0;93;93
3.2097247831728474e-08;0;94;94
3.2438707915044736e-08;0;95;95
3.278016799836099e-08;0;96;96
3.3121628081677254e-08;0;97;97
3.3463088164993516e-08;0;98;98
3.380454824830977e-08;0;99;99
3.4146008331626034e-08;0;100;100
3.4487468414942297e-08;0;101;101
3.482892849825856e-08;0;102;102
3.5170388581574815e-08;0;103;103
3.551184866489108e-08;0;104;104
3.585330874820734e-08;0;105;105
3.6194768831523595e-08;0;106;106
3.653622891483986e-08;0;107;107
3.687768899815612e-08;0;108;108
3.721914908147238e-08;0;109;109
3.756060916478864e-08;0;110;110
3.79020692481049e-08;0;111;111
3.824352933142116e-08;0;112;112
3.858498941473742e-08;0;113;113
3.892644949805368e-08;0;114;114
3.926790958136994e-08;0;115;115
3.96093696646862e-08;0;116;116
3.995082974800247e-08;0;117;117
4.029228983131872e-08;0;118;118
4.0633749914634985e-08;0;119;119
4.097520999795124e-08;0;120;120
4.13166700812675e-08;0;121;121
4.1658130164583766e-08;0;122;122
4.199959024790003e-08;0;123;123
4.2341050331216284e-08;0;124;124
4.268251041453254e-08;0;125;125
4.302397049784881e-08;0;126;126
4.3365430581165064e-08;0;127;127
4.3706890664481327e-08;0;128;128
4.404835074779758e-08;0;129;129
4.4389810831113845e-08;0;130;130
4.473127091443011e-08;0;131;131
4.507273099774637e-08;0;132;132
4.5414191081062625e-08;0;133;133
4.575565116437889e-08;0;134;134
4.609711124769515e-08;0;135;135
4.643857133101141e-08;0;136;136
4.678003141432767e-08;0;137;137
4.712149149764393e-08;0;138;138
4.7462951580960186e-08;0;139;139
4.7804411664276455e-08;0;140;140
4.814587174759271e-08;0;141;141
4.848733183090897e-08;0;142;142
4.882879191422523e-08;0;143;143
4.9170251997541484e-08;0;144;144
4.951171208085775e-08;0;145;145
4.9853172164174015e-08;0;146;146
5.019463224749027e-08;0;147;147
5.053609233080653e-08;0;148;148
5.0877552414122796e-08;0;149;149
5.121901249743906e-08;0;150;150
5.1560472580755314e-08;0;151;151
5.190193266407157e-08;0;152;152
5.224339274738783e-08;0;153;153
5.25848528307041e-08;0;154;154
5.2926312914020356e-08;0;155;155
5.326777299733661e-08;0;156;156
5.3609233080652874e-08;0;157;157
5.3950693163969143e-08;0;158;158
5.42921532472854e-08;0;159;159
5.4633613330601655e-08;0;160;160
5.497507341391792e-08;0;161;161
5.531653349723417e-08;0;162;162
5.565799358055044e-08;0;163;163
5.59994536638667e-08;0;164;164
5.634091374718296e-08;0;165;165
5.6682373830499216e-08;0;166;166
5.702383391381548e-08;0;167;167
5.736529399713174e-08;0;168;168
5.7706754080448e-08;0;169;169
5.804821416376426e-08;0;170;170
5.838967424708052e-08;0;171;171
5.873113433039678e-08;0;172;172
5.9072594413713045e-08;0;173;173
