Attribute,ApplicablePlace,AthleticShoeType,BackSideMaterial,BodyMaterial,BrandName,Capacity,Category,ClosureType,Collar,Color,DepartmentName,DerivativeSeries,FabricType,Feature,FingerboardMaterial,Fit,Function,Gender,HoseHeight,InsoleMaterial,IsCustomized,ItemType,Length,LensesOpticalAttribute,LevelOfPractice,LiningMaterial,Material,Model,ModelNumber,Name,OuterwearType,OutsoleMaterial,PatternType,ProductType,Season,Size,SleeveLengthCm,SportType,SportsType,StrapType,Style,Technology,Type,TypeOfSports,UpperHeight,UpperMaterial,Voltage,Weight
asin_entity_precision,0.9166666666666666,0.9906143344709898,0.803921568627451,0.8235294117647058,0.9784714747039828,0.9532710280373832,0.9512195121951219,1.0,0.9907407407407407,0.9166666666666666,0.9873417721518988,0.4,0.9719626168224299,0.90625,0.9206349206349206,nan,0.75,0.9710454129838464,0.8412698412698413,1.0,nan,0.9769230769230769,0.8695652173913043,0.7924528301886793,0.9354838709677419,1.0,0.888015717092338,0.72,0.6089663760896638,1.0,1.0,1.0,0.8838951310861424,0.9797979797979798,0.9285714285714286,0.9473684210526315,0.9705882352941176,0.9777636594663278,0.9565217391304348,1.0,0.9424083769633508,nan,0.8068181818181818,0.9811320754716981,0.9613259668508287,0.8776978417266187,0.9038461538461539,0.9545454545454546
asin_entity_recall,0.8461538461538461,0.989769820971867,0.6307692307692307,0.2978723404255319,0.9463820926600729,0.8717948717948718,0.6842105263157895,0.25,0.9145299145299145,0.1774193548387097,0.7878787878787878,0.18867924528301888,0.7172413793103448,0.6590909090909091,0.8529411764705882,0.0,0.19148936170212766,0.9669195751138088,0.7681159420289855,0.0625,0.0,0.8050713153724247,0.37037037037037035,0.75,0.5918367346938775,0.5,0.8129496402877698,0.3157894736842105,0.33539094650205764,0.2,0.8775510204081632,0.9215686274509803,0.8054607508532423,0.9797979797979798,0.5909090909090909,0.6237623762376238,0.75,0.9746675110829639,0.9166666666666666,0.8936170212765957,0.6593406593406593,0.0,0.660904255319149,0.8253968253968254,0.90625,0.61,0.94,0.5526315789473685
asin_entity_f1,0.8799999999999999,0.9901918976545843,0.7068965517241379,0.4375,0.9621593014024874,0.9107142857142857,0.7959183673469389,0.4,0.951111111111111,0.2972972972972973,0.8764044943820224,0.2564102564102564,0.8253968253968255,0.763157894736842,0.8854961832061068,nan,0.3050847457627119,0.968978102189781,0.8030303030303031,0.11764705882352941,nan,0.8827106863596873,0.5194805194805194,0.7706422018348623,0.7249999999999999,0.6666666666666666,0.8488262910798122,0.43902439024390244,0.4325519681556833,0.33333333333333337,0.9347826086956522,0.9591836734693878,0.842857142857143,0.9797979797979798,0.7222222222222223,0.7522388059701492,0.846153846153846,0.9762131303520456,0.9361702127659574,0.9438202247191011,0.7758620689655172,nan,0.7266081871345029,0.8965517241379309,0.9329758713136729,0.7197640117994101,0.9215686274509804,0.7000000000000001
fact_entity_precision,0.9166666666666666,0.9864061172472387,0.7735849056603774,0.7777777777777778,0.9753218884120172,0.816,0.8417721518987342,1.0,0.9469026548672567,0.6875,0.9176470588235294,0.3125,0.9482758620689655,0.8529411764705882,0.8656716417910447,nan,0.5294117647058824,0.94535666218035,0.7681159420289855,1.0,nan,0.9392265193370166,0.8,0.6461538461538462,0.90625,1.0,0.8042704626334519,0.42857142857142855,0.43946188340807174,0.8181818181818182,0.9923076923076923,0.9591836734693877,0.7953020134228188,0.9553571428571429,0.7959183673469388,0.8936170212765957,0.9166666666666666,0.9651376146788991,0.5101449275362319,1.0,0.900497512437811,nan,0.6568877551020408,0.9122807017543859,0.9354838709677419,0.8356164383561644,0.8703703703703703,0.84
fact_entity_recall,0.8461538461538461,0.989769820971867,0.6307692307692307,0.2978723404255319,0.9463820926600729,0.8717948717948718,0.689119170984456,0.25,0.9145299145299145,0.1774193548387097,0.7878787878787878,0.17857142857142858,0.5641025641025641,0.6590909090909091,0.8529411764705882,0.0,0.19148936170212766,0.9645701730293875,0.7681159420289855,0.0625,0.0,0.8031496062992126,0.37037037037037035,0.75,0.5918367346938775,0.5,0.8129496402877698,0.3157894736842105,0.33152909336941816,0.2,0.8775510204081632,0.9215686274509803,0.8061224489795918,0.981651376146789,0.5909090909090909,0.6237623762376238,0.75,0.9611694837825491,0.9166666666666666,0.8936170212765957,0.6605839416058394,0.0,0.6543837357052097,0.8253968253968254,0.90625,0.61,0.94,0.5526315789473685
fact_entity_f1,0.8799999999999999,0.9880851063829788,0.6949152542372882,0.43076923076923074,0.9606340819022458,0.8429752066115703,0.7578347578347578,0.4,0.9304347826086956,0.28205128205128205,0.8478260869565216,0.22727272727272727,0.707395498392283,0.7435897435897436,0.8592592592592593,nan,0.28125,0.9548667754214247,0.7681159420289855,0.11764705882352941,nan,0.8658743633276741,0.5063291139240506,0.694214876033058,0.7160493827160493,0.6666666666666666,0.8085867620751341,0.36363636363636365,0.37794060933281914,0.32142857142857145,0.9314079422382673,0.9400000000000001,0.8006756756756757,0.9683257918552036,0.6782608695652174,0.7346938775510204,0.8250000000000001,0.9631494621194782,0.6554934823091247,0.9438202247191011,0.7621052631578948,nan,0.6556333545512412,0.8666666666666667,0.9206349206349206,0.7052023121387282,0.9038461538461539,0.6666666666666667
asin_token_precision,0.9166666666666666,0.9940273037542662,0.8431372549019608,0.8235294117647058,0.9822389666307858,0.9532710280373832,0.975609756097561,1.0,0.9907407407407407,1.0,0.9873417721518988,0.72,0.9719626168224299,0.921875,0.9206349206349206,nan,0.75,0.9740932642487047,0.8412698412698413,1.0,nan,0.9826923076923076,0.9565217391304348,0.7924528301886793,0.9354838709677419,1.0,0.9351669941060904,0.8,0.7770859277708593,1.0,1.0,1.0,0.9026217228464419,0.9797979797979798,0.9285714285714286,0.9548872180451128,0.9705882352941176,0.9783989834815756,0.9565217391304348,1.0,0.9528795811518325,nan,0.8798701298701299,0.9811320754716981,0.9668508287292817,0.8992805755395683,0.9038461538461539,0.9545454545454546
asin_token_recall,0.8461538461538461,0.9931798806479113,0.6615384615384615,0.2978723404255319,0.9500260281103592,0.8717948717948718,0.7017543859649122,0.25,0.9145299145299145,0.1935483870967742,0.7878787878787878,0.33962264150943394,0.7172413793103448,0.6704545454545454,0.8529411764705882,0.0,0.19148936170212766,0.9699544764795144,0.7681159420289855,0.0625,0.0,0.8098256735340729,0.4074074074074074,0.75,0.5918367346938775,0.5,0.8561151079136691,0.3508771929824561,0.4279835390946502,0.2,0.8775510204081632,0.9215686274509803,0.8225255972696246,0.9797979797979798,0.5909090909090909,0.6287128712871287,0.75,0.9753008233058899,0.9166666666666666,0.8936170212765957,0.6666666666666666,0.0,0.7207446808510638,0.8253968253968254,0.9114583333333334,0.625,0.94,0.5526315789473685
asin_token_f1,0.8799999999999999,0.9936034115138592,0.7413793103448276,0.4375,0.9658639851812648,0.9107142857142857,0.8163265306122448,0.4,0.951111111111111,0.3243243243243243,0.8764044943820224,0.4615384615384615,0.8253968253968255,0.7763157894736842,0.8854961832061068,nan,0.3050847457627119,0.9720194647201946,0.8030303030303031,0.11764705882352941,nan,0.887923544743701,0.5714285714285714,0.7706422018348623,0.7249999999999999,0.6666666666666666,0.8938967136150234,0.4878048780487805,0.551968155683326,0.33333333333333337,0.9347826086956522,0.9591836734693878,0.8607142857142858,0.9797979797979798,0.7222222222222223,0.7582089552238805,0.846153846153846,0.9768474468759911,0.9361702127659574,0.9438202247191011,0.7844827586206895,nan,0.7923976608187134,0.8965517241379309,0.9383378016085792,0.7374631268436578,0.9215686274509804,0.7000000000000001
fact_token_precision,0.9166666666666666,0.9903709997167942,0.8113207547169812,0.8055555555555556,0.9786748927038627,0.816,0.9159282700421941,1.0,0.9530973451327434,0.90625,0.9235294117647059,0.5734374999999999,0.9568965517241379,0.8628982843137254,0.8656716417910447,nan,0.6274509803921569,0.9484410049349483,0.782608695652174,1.0,nan,0.9511970534069981,0.858,0.6717948717948719,0.90625,1.0,0.8801601423487544,0.5863378684807256,0.6319083208769313,0.9090909090909091,0.9923076923076923,0.9693877551020408,0.8291387024608502,0.9553571428571429,0.8146258503401361,0.9338061465721041,0.9166666666666666,0.9669724770642202,0.5115942028985507,1.0,0.9203980099502488,nan,0.7642857142857142,0.9122807017543859,0.9432795698924731,0.8652968036529681,0.8703703703703703,0.8866666666666667
fact_token_recall,0.8461538461538461,0.9953111679454391,0.6461538461538462,0.30851063829787234,0.9490716640638556,0.8717948717948718,0.7582037996545767,0.25,0.9316239316239316,0.2264784946236559,0.797979797979798,0.26056547619047615,0.5743589743589743,0.6704545454545454,0.8529411764705882,0.0,0.22340425531914893,0.9663897280966769,0.7729468599033815,0.0625,0.0,0.8181102362204724,0.42592592592592593,0.7946428571428571,0.5918367346938775,0.5,0.8728117505995205,0.48684210526315785,0.46515856906587627,0.2111111111111111,0.8775510204081632,0.9411764705882353,0.8418367346938775,0.981651376146789,0.6363636363636364,0.6503300330033004,0.75,0.9627683873915029,0.921875,0.8936170212765957,0.6721411192214113,0.0,0.7659042778483693,0.8253968253968254,0.9192708333333334,0.63,0.94,0.631578947368421
fact_token_f1,0.8799999999999999,0.9928349385218308,0.7193786098386776,0.4461538461538461,0.9636459790164096,0.8429752066115703,0.8296362122527404,0.4,0.94223831061205,0.3623924651438742,0.8561764401339178,0.3583153046658934,0.7178450789618038,0.7546000708401827,0.8592592592592593,nan,0.32949252267712675,0.95733124506905,0.7777477720766945,0.11764705882352941,nan,0.8796482675644931,0.5692609473259101,0.7280731882474163,0.7160493827160493,0.6666666666666666,0.8764705443842586,0.5319778029230969,0.5358607993998571,0.34265103697024346,0.9314079422382673,0.9550738297203896,0.8354394713024471,0.9683257918552036,0.7145444858817261,0.7667045168827479,0.8250000000000001,0.9648658527606642,0.6580202837193138,0.9438202247191011,0.776919495672168,nan,0.7650941400465411,0.8666666666666667,0.9311204623290246,0.7291354933276332,0.9038461538461539,0.7376935521146292
